,,,,,,,,,
,令和７年２月から,,,,,継続,,"仕　　　立 ",
,,,基本料金,女性料金,子供料金,,（連休中日含む）,(祭日）,平日
,午前船,"アジ／キス
カサゴ／マダコ",6800,5500,3800,,"土曜日　１５人迄
１０２０００円","日曜日１2人迄
８１６００円","基本８名より
５４４００円"
,,,,,,,,,
,午前船,タチウオ／マゴチ／アミ五目／メバル,7000,5800,4300,,"土曜日15人迄
１０５０００円","日曜日１2人迄
８４０００円","基本８名より
５６０００円"
,午後船,"アジ／キス
カサゴ／エギイカ",6800,5500,3800,4500,"土曜日１２人迄
８１６００円","日曜日１０人迄
６８０００円","基本８名より
５４４００円"
,午後船,アミ五目／マゴチ,7000,5800,4300,4500,"土曜日１２人迄
８４０００円","日曜日１０人迄
７００００円","基本８名より
５６０００円"
,,,,,,,,,
,,,基本料金,女性,子供,コマセリレー追加,土日１０人迄,平日７名まで,平日８名より
,（平日料金）,"マゴチ
",10700,8700,6500,"ミンチ　５００円
アミ　１０００円",１０７０００円,,８５６００円
,,スミイカ,11000,9000,6500,,１１００００円,,８８０００円
,一日餌特殊な為,タチアジ,11000,9000,7000,,１１００００円,,８８０００円
,,タチウオのみ,10300,8300,6500,,１０３０００円,,８２４００円
,,カワハギ,11000,9000,7000,,１１００００円,,８８０００円
,,テンヤタチウオ,9500,7500,6500,,９５０００円,,７６０００円
,,一日アミ五目,11500,9500,7000,,１１5０００円,,９２０００円
,,タチ　アミ五目,11500,9500,7500,,１１5０００円,,９２０００円
,,"ＬＴアジ～（リレー）
キスイシモチカサゴ・タコ",10500,8000,6500,,１０５０００円,,８４０００円
,ショート便,ショートメバル,7500,6000,4300,,７５０００円,５２５００円,
,,ワラサ,12000,10000,9500,,土日１０人迄,平日７名まで,平日８名まで
,,イカ・遠征五目,12000,10000,8000,１２人より,１４４０００円,,９６０００円
,,マダイ・イサキ,11700,9700,8000,イサキは１２人,１１７０００円,,９３６００円
,,カワハギ～アミ五目,12000,9500,7500,,１２００００円,,９２０００円
,,深場,12500,10500,8500,,１２５０００円,,１０００００円
,ビシアジ＋５００,一日ＬＴアジ,9500,7500,6500,,９８０００円,,７６０００円
,,キス・カサゴなど,9000,7000,6000,,９３０００円,,７２０００円
,,マダコ（終日）,10000,8000,6500,,１０００００円,,８００００円
,,フグ,11700,9700,7500,１２人より,１４０４００円,,９３６００円
,,夜アジ＆カサゴ,8000,6000,5000,6000,6000,８００００円,５０００／４０００
,,夜アナゴ,8000,6000,5000,6000,5500,８００００円,５０００／４０００
,,夜カサゴ,7000,5500,4500,6000,5500,７００００円,５０００／４０００
,,キスアナゴ,11000,9000,7500,7500,女性同左,１１００００円,
,,BBQ乗合・仕立共,男性6名以上,６６００円,,追加料金,追加料金,女性半日リレー,子供料金と同じ
,,,,,,,,,
,,ビシセットFL,預かり　3600,返金　３5００,,,,,
